Run ID    : efficientnet5ch_euvp_bs16_20260624_053039
Ckpt dir  : ./checkpoints/efficientnet5ch_euvp_bs16_20260624_053039
Log file  : D:\underwater-image-enhancement\logs\efficientnet5ch_euvp_bs16_20260624_053039.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model efficientnet_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name efficientnet5ch_euvp_bs16
Timestamp : 2026-06-24 05:30:39
-----------------------------------------------------------------

=================================================================
  Training: efficientnet_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 50/643] Loss: 1.9355
   [Batch 100/643] Loss: 1.5703
   [Batch 150/643] Loss: 1.4890
   [Batch 200/643] Loss: 1.3375
   [Batch 250/643] Loss: 1.3128
   [Batch 300/643] Loss: 1.4368
   [Batch 350/643] Loss: 1.2867
   [Batch 400/643] Loss: 1.3168
   [Batch 450/643] Loss: 1.3427
   [Batch 500/643] Loss: 1.3281
   [Batch 550/643] Loss: 1.2789
   [Batch 600/643] Loss: 1.2163
     1    1.4109    1.2184   20.827   0.7725   1.00e-04  273.8s  ← BEST ✓
   [Batch 50/643] Loss: 1.1774
   [Batch 100/643] Loss: 1.2273
   [Batch 150/643] Loss: 1.2652
   [Batch 200/643] Loss: 1.2879
   [Batch 250/643] Loss: 1.2143
   [Batch 300/643] Loss: 1.3798
   [Batch 350/643] Loss: 1.2100
   [Batch 400/643] Loss: 1.0861
   [Batch 450/643] Loss: 1.2229
   [Batch 500/643] Loss: 1.1232
   [Batch 550/643] Loss: 1.0823
   [Batch 600/643] Loss: 1.1299
     2    1.1949    1.1365   21.825   0.8091   1.00e-04  174.3s  ← BEST ✓
   [Batch 50/643] Loss: 1.1848
   [Batch 100/643] Loss: 1.0736
   [Batch 150/643] Loss: 1.1836
   [Batch 200/643] Loss: 1.0494
   [Batch 250/643] Loss: 1.1654
   [Batch 300/643] Loss: 1.1185
   [Batch 350/643] Loss: 1.1702
   [Batch 400/643] Loss: 1.1562
   [Batch 450/643] Loss: 1.1246
   [Batch 500/643] Loss: 1.1622
   [Batch 550/643] Loss: 1.1306
   [Batch 600/643] Loss: 1.0170
   [Batch 50/643] Loss: 1.1044
   [Batch 100/643] Loss: 1.0895
