Run ID    : efficientnetb1_5ch_euvp_bs16_20260624_132042
Ckpt dir  : ./checkpoints/efficientnetb1_5ch_euvp_bs16_20260624_132042
Log file  : D:\underwater-image-enhancement\logs\efficientnetb1_5ch_euvp_bs16_20260624_132042.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model efficientnetb1_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name efficientnetb1_5ch_euvp_bs16
Timestamp : 2026-06-24 13:20:42
-----------------------------------------------------------------

=================================================================
  Training: efficientnetb1_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 50/643] Loss: 1.8412
   [Batch 100/643] Loss: 1.6161
   [Batch 150/643] Loss: 1.6230
   [Batch 200/643] Loss: 1.4573
   [Batch 250/643] Loss: 1.4741
   [Batch 300/643] Loss: 1.3595
   [Batch 350/643] Loss: 1.3856
   [Batch 400/643] Loss: 1.2745
   [Batch 450/643] Loss: 1.3326
   [Batch 500/643] Loss: 1.2123
   [Batch 550/643] Loss: 1.3928
   [Batch 600/643] Loss: 1.2470
     1    1.4944    1.2828   18.332   0.7213   1.00e-04  275.4s  ← BEST ✓
   [Batch 50/643] Loss: 1.1995
   [Batch 100/643] Loss: 1.2626
   [Batch 150/643] Loss: 1.1082
   [Batch 200/643] Loss: 1.3077
   [Batch 250/643] Loss: 1.3027
   [Batch 300/643] Loss: 1.3452
   [Batch 350/643] Loss: 1.2663
   [Batch 400/643] Loss: 1.1757
   [Batch 450/643] Loss: 0.9506
   [Batch 500/643] Loss: 1.1423
   [Batch 550/643] Loss: 1.1784
   [Batch 600/643] Loss: 1.2568
     2    1.2221    1.1466   21.761   0.8030   1.00e-04  178.9s  ← BEST ✓
   [Batch 50/643] Loss: 1.0515
   [Batch 100/643] Loss: 1.0718
   [Batch 150/643] Loss: 1.1404
   [Batch 200/643] Loss: 1.0692
   [Batch 250/643] Loss: 1.1226
   [Batch 300/643] Loss: 1.2253
   [Batch 350/643] Loss: 1.1431
   [Batch 400/643] Loss: 1.0927
   [Batch 450/643] Loss: 1.1024
   [Batch 500/643] Loss: 1.0680
   [Batch 550/643] Loss: 1.1570
   [Batch 600/643] Loss: 1.0224
   [Batch 50/643] Loss: 1.2336
   [Batch 100/643] Loss: 1.2236
   [Batch 150/643] Loss: 1.1847
   [Batch 200/643] Loss: 1.1161
   [Batch 250/643] Loss: 1.0219
   [Batch 300/643] Loss: 1.0122
   [Batch 350/643] Loss: 1.0489
   [Batch 400/643] Loss: 1.1264
   [Batch 450/643] Loss: 1.0720
   [Batch 500/643] Loss: 1.0632
   [Batch 550/643] Loss: 1.1673
   [Batch 600/643] Loss: 1.0697
     4    1.1094    1.0710   22.542   0.8351   1.00e-04  179.3s  ← BEST ✓
   [Batch 50/643] Loss: 0.9992
   [Batch 100/643] Loss: 1.0133
   [Batch 150/643] Loss: 1.0532
   [Batch 200/643] Loss: 1.0445
   [Batch 250/643] Loss: 1.0817
   [Batch 300/643] Loss: 1.1155
   [Batch 350/643] Loss: 1.1917
   [Batch 400/643] Loss: 1.1033
   [Batch 450/643] Loss: 1.0862
   [Batch 500/643] Loss: 1.0554
   [Batch 550/643] Loss: 1.1094
   [Batch 600/643] Loss: 1.0197
   [Batch 50/643] Loss: 1.1338
   [Batch 100/643] Loss: 1.0563
   [Batch 150/643] Loss: 0.9332
   [Batch 200/643] Loss: 1.1131
   [Batch 250/643] Loss: 1.1271
   [Batch 300/643] Loss: 1.0365
   [Batch 350/643] Loss: 1.1146
   [Batch 400/643] Loss: 1.1582
   [Batch 450/643] Loss: 1.0764
   [Batch 500/643] Loss: 1.0411
   [Batch 550/643] Loss: 1.0004
   [Batch 600/643] Loss: 1.1268
     6    1.0595    1.0411   22.758   0.8474   1.00e-04  177.1s  ← BEST ✓
   [Batch 50/643] Loss: 1.0552
   [Batch 100/643] Loss: 0.9993
   [Batch 150/643] Loss: 1.0038
   [Batch 200/643] Loss: 0.9649
   [Batch 250/643] Loss: 1.1382
   [Batch 300/643] Loss: 1.0891
   [Batch 350/643] Loss: 0.9626
   [Batch 400/643] Loss: 1.0388
   [Batch 450/643] Loss: 0.9580
   [Batch 500/643] Loss: 0.9807
   [Batch 550/643] Loss: 1.0767
   [Batch 600/643] Loss: 1.0221
   [Batch 50/643] Loss: 0.9782
   [Batch 100/643] Loss: 1.0757
   [Batch 150/643] Loss: 1.0196
   [Batch 200/643] Loss: 1.1720
   [Batch 250/643] Loss: 0.9735
   [Batch 300/643] Loss: 0.9947
   [Batch 350/643] Loss: 0.9927
   [Batch 400/643] Loss: 1.1064
   [Batch 450/643] Loss: 1.0014
   [Batch 500/643] Loss: 1.2450
   [Batch 550/643] Loss: 0.9965
   [Batch 600/643] Loss: 1.0477
     8    1.0358    1.0255   22.883   0.8500   1.00e-04  179.6s  ← BEST ✓
   [Batch 50/643] Loss: 1.1573
   [Batch 100/643] Loss: 1.0254
   [Batch 150/643] Loss: 1.0071
   [Batch 200/643] Loss: 0.9713
   [Batch 250/643] Loss: 1.0436
   [Batch 300/643] Loss: 0.9727
   [Batch 350/643] Loss: 0.9218
   [Batch 400/643] Loss: 0.9198
   [Batch 450/643] Loss: 1.0992
   [Batch 500/643] Loss: 1.0929
   [Batch 550/643] Loss: 1.0275
   [Batch 600/643] Loss: 1.0104
   [Batch 50/643] Loss: 1.0397
   [Batch 100/643] Loss: 0.9743
   [Batch 150/643] Loss: 0.9123
   [Batch 200/643] Loss: 1.0790
   [Batch 250/643] Loss: 1.1847
   [Batch 300/643] Loss: 0.9782
   [Batch 350/643] Loss: 0.9830
   [Batch 400/643] Loss: 1.1054
   [Batch 450/643] Loss: 1.0062
   [Batch 500/643] Loss: 1.0525
   [Batch 550/643] Loss: 1.0759
   [Batch 600/643] Loss: 0.9031
    10    1.0183    1.0104   23.056   0.8566   1.00e-04  179.5s  ← BEST ✓
   [Batch 50/643] Loss: 0.9800
   [Batch 100/643] Loss: 0.9541
   [Batch 150/643] Loss: 1.0085
   [Batch 200/643] Loss: 0.9643
   [Batch 250/643] Loss: 0.9893
   [Batch 300/643] Loss: 0.9717
   [Batch 350/643] Loss: 1.0856
   [Batch 400/643] Loss: 1.0200
   [Batch 450/643] Loss: 0.9806
   [Batch 500/643] Loss: 1.0410
   [Batch 550/643] Loss: 0.9962
   [Batch 600/643] Loss: 0.9821
   [Batch 50/643] Loss: 1.0415
   [Batch 100/643] Loss: 1.0139
   [Batch 150/643] Loss: 0.9508
   [Batch 200/643] Loss: 0.9859
   [Batch 250/643] Loss: 0.9728
   [Batch 300/643] Loss: 0.9201
   [Batch 350/643] Loss: 1.0527
   [Batch 400/643] Loss: 0.9440
   [Batch 450/643] Loss: 0.9965
   [Batch 500/643] Loss: 1.0770
   [Batch 550/643] Loss: 0.9393
   [Batch 600/643] Loss: 0.9750
    12    1.0043    1.0125   23.093   0.8526   1.00e-04  180.2s  ← BEST ✓
   [Batch 50/643] Loss: 0.9563
   [Batch 100/643] Loss: 1.0380
   [Batch 150/643] Loss: 1.0054
   [Batch 200/643] Loss: 1.0858
   [Batch 250/643] Loss: 1.0117
   [Batch 300/643] Loss: 1.0491
   [Batch 350/643] Loss: 1.0026
   [Batch 400/643] Loss: 1.0831
   [Batch 450/643] Loss: 0.9789
   [Batch 500/643] Loss: 1.0060
   [Batch 550/643] Loss: 1.0592
   [Batch 600/643] Loss: 0.9109
   [Batch 50/643] Loss: 0.9820
   [Batch 100/643] Loss: 1.0817
   [Batch 150/643] Loss: 1.0310
   [Batch 200/643] Loss: 0.9824
   [Batch 250/643] Loss: 0.9581
   [Batch 300/643] Loss: 0.9918
   [Batch 350/643] Loss: 0.9377
   [Batch 400/643] Loss: 1.0187
   [Batch 450/643] Loss: 0.9672
   [Batch 500/643] Loss: 0.9223
   [Batch 550/643] Loss: 0.9456
   [Batch 600/643] Loss: 0.8469
    14    0.9936    1.0024   23.205   0.8563   1.00e-04  180.0s  ← BEST ✓
   [Batch 50/643] Loss: 0.9779
   [Batch 100/643] Loss: 1.0250
   [Batch 150/643] Loss: 0.9719
   [Batch 200/643] Loss: 1.1022
   [Batch 250/643] Loss: 1.0353
   [Batch 300/643] Loss: 0.9236
   [Batch 350/643] Loss: 0.9397
   [Batch 400/643] Loss: 1.0410
   [Batch 450/643] Loss: 0.8958
   [Batch 500/643] Loss: 0.9982
   [Batch 550/643] Loss: 0.9170
   [Batch 600/643] Loss: 0.9283
   [Batch 50/643] Loss: 0.9901
   [Batch 100/643] Loss: 0.9275
   [Batch 150/643] Loss: 1.0540
   [Batch 200/643] Loss: 0.9784
   [Batch 250/643] Loss: 0.9546
   [Batch 300/643] Loss: 0.9624
   [Batch 350/643] Loss: 0.9612
   [Batch 400/643] Loss: 0.9335
   [Batch 450/643] Loss: 1.0279
   [Batch 500/643] Loss: 1.0241
   [Batch 550/643] Loss: 1.0061
   [Batch 600/643] Loss: 0.9242
    16    0.9844    1.0007   23.052   0.8539   1.00e-04  177.8s
   [Batch 50/643] Loss: 1.0794
   [Batch 100/643] Loss: 0.9760
   [Batch 150/643] Loss: 0.9188
   [Batch 200/643] Loss: 1.0243
   [Batch 250/643] Loss: 1.0802
   [Batch 300/643] Loss: 0.9627
   [Batch 350/643] Loss: 0.9024
   [Batch 400/643] Loss: 1.0665
   [Batch 450/643] Loss: 0.9460
   [Batch 500/643] Loss: 1.0175
   [Batch 550/643] Loss: 0.9587
   [Batch 600/643] Loss: 0.9235
   [Batch 50/643] Loss: 0.9595
   [Batch 100/643] Loss: 0.9417
   [Batch 150/643] Loss: 0.9673
   [Batch 200/643] Loss: 0.9108
   [Batch 250/643] Loss: 0.9753
   [Batch 300/643] Loss: 0.9605
   [Batch 350/643] Loss: 0.8374
   [Batch 400/643] Loss: 1.0021
   [Batch 450/643] Loss: 0.9293
   [Batch 500/643] Loss: 0.9602
   [Batch 550/643] Loss: 0.9980
   [Batch 600/643] Loss: 0.9728
    18    0.9757    1.0121   23.054   0.8548   1.00e-04  180.0s
   [Batch 50/643] Loss: 1.0179
   [Batch 100/643] Loss: 0.9377
   [Batch 150/643] Loss: 0.9933
   [Batch 200/643] Loss: 0.9221
