Run ID    : resnet5ch_euvp_bs16_20260624_081624
Ckpt dir  : ./checkpoints/resnet5ch_euvp_bs16_20260624_081624
Log file  : D:\underwater-image-enhancement\logs\resnet5ch_euvp_bs16_20260624_081624.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model resnet_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name resnet5ch_euvp_bs16
Timestamp : 2026-06-24 08:16:24
-----------------------------------------------------------------

=================================================================
  Training: resnet_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 50/643] Loss: 1.5519
   [Batch 100/643] Loss: 1.4810
   [Batch 150/643] Loss: 1.4695
   [Batch 200/643] Loss: 1.4816
   [Batch 250/643] Loss: 1.2813
   [Batch 300/643] Loss: 1.0614
   [Batch 350/643] Loss: 1.2145
   [Batch 400/643] Loss: 1.4082
   [Batch 450/643] Loss: 1.1746
   [Batch 500/643] Loss: 1.2443
   [Batch 550/643] Loss: 1.2591
   [Batch 600/643] Loss: 1.2195
     1    1.3317    1.1644   19.459   0.7861   1.00e-04  241.8s  ← BEST ✓
   [Batch 50/643] Loss: 1.2571
   [Batch 100/643] Loss: 1.1543
   [Batch 150/643] Loss: 1.1433
   [Batch 200/643] Loss: 1.1914
   [Batch 250/643] Loss: 1.1431
   [Batch 300/643] Loss: 1.1250
   [Batch 350/643] Loss: 1.1422
   [Batch 400/643] Loss: 1.1481
   [Batch 450/643] Loss: 1.1942
   [Batch 500/643] Loss: 1.0320
   [Batch 550/643] Loss: 1.1726
   [Batch 600/643] Loss: 1.1629
     2    1.1415    1.0907   21.320   0.8169   1.00e-04  240.8s  ← BEST ✓
   [Batch 50/643] Loss: 1.1582
   [Batch 100/643] Loss: 1.2108
   [Batch 150/643] Loss: 1.0655
   [Batch 200/643] Loss: 1.1049
   [Batch 250/643] Loss: 1.1029
   [Batch 300/643] Loss: 1.1366
   [Batch 350/643] Loss: 1.0174
   [Batch 400/643] Loss: 1.0444
   [Batch 450/643] Loss: 0.9831
   [Batch 500/643] Loss: 1.0687
   [Batch 550/643] Loss: 1.1177
   [Batch 600/643] Loss: 0.9991
   [Batch 50/643] Loss: 1.0418
   [Batch 100/643] Loss: 1.1605
   [Batch 150/643] Loss: 1.1264
   [Batch 200/643] Loss: 1.0270
   [Batch 250/643] Loss: 1.0842
   [Batch 300/643] Loss: 1.0640
   [Batch 350/643] Loss: 1.0779
   [Batch 400/643] Loss: 1.1322
   [Batch 450/643] Loss: 1.1473
   [Batch 500/643] Loss: 1.0764
   [Batch 550/643] Loss: 1.1132
   [Batch 600/643] Loss: 1.1234
     4    1.0704    1.0489   21.958   0.8417   1.00e-04  240.4s  ← BEST ✓
   [Batch 50/643] Loss: 1.0543
   [Batch 100/643] Loss: 1.0294
   [Batch 150/643] Loss: 0.9583
   [Batch 200/643] Loss: 1.0320
   [Batch 250/643] Loss: 1.0398
   [Batch 300/643] Loss: 1.0467
   [Batch 350/643] Loss: 1.0545
   [Batch 400/643] Loss: 1.1560
   [Batch 450/643] Loss: 1.1426
   [Batch 500/643] Loss: 0.9409
   [Batch 550/643] Loss: 1.0667
   [Batch 600/643] Loss: 1.0321
   [Batch 50/643] Loss: 1.0749
   [Batch 100/643] Loss: 1.0052
   [Batch 150/643] Loss: 1.0224
   [Batch 200/643] Loss: 1.0033
   [Batch 250/643] Loss: 1.1137
   [Batch 300/643] Loss: 1.0810
   [Batch 350/643] Loss: 1.0173
   [Batch 400/643] Loss: 1.0592
   [Batch 450/643] Loss: 1.0721
   [Batch 500/643] Loss: 0.9503
   [Batch 550/643] Loss: 0.9881
   [Batch 600/643] Loss: 1.0894
     6    1.0403    1.0152   22.521   0.8492   1.00e-04  240.7s  ← BEST ✓
   [Batch 50/643] Loss: 1.0878
   [Batch 100/643] Loss: 1.0455
   [Batch 150/643] Loss: 0.9372
   [Batch 200/643] Loss: 0.9625
   [Batch 250/643] Loss: 1.0312
   [Batch 300/643] Loss: 0.9580
   [Batch 350/643] Loss: 0.9039
   [Batch 400/643] Loss: 0.9050
   [Batch 450/643] Loss: 1.0267
   [Batch 500/643] Loss: 1.0977
   [Batch 550/643] Loss: 1.0337
   [Batch 600/643] Loss: 1.0039
   [Batch 50/643] Loss: 1.0490
   [Batch 100/643] Loss: 1.0972
   [Batch 150/643] Loss: 1.1024
   [Batch 200/643] Loss: 0.9357
   [Batch 250/643] Loss: 1.0367
   [Batch 300/643] Loss: 1.0554
   [Batch 350/643] Loss: 1.0715
   [Batch 400/643] Loss: 0.9790
   [Batch 450/643] Loss: 0.9232
   [Batch 500/643] Loss: 1.0825
   [Batch 550/643] Loss: 0.9557
   [Batch 600/643] Loss: 0.9676
     8    1.0231    1.0145   22.328   0.8428   1.00e-04  209.6s
   [Batch 50/643] Loss: 1.1432
   [Batch 100/643] Loss: 1.1060
   [Batch 150/643] Loss: 0.9514
   [Batch 200/643] Loss: 1.0061
   [Batch 250/643] Loss: 1.0857
   [Batch 300/643] Loss: 1.0554
   [Batch 350/643] Loss: 0.9880
   [Batch 400/643] Loss: 0.9198
   [Batch 450/643] Loss: 1.0121
   [Batch 500/643] Loss: 0.8392
   [Batch 550/643] Loss: 1.0814
   [Batch 600/643] Loss: 0.9877
   [Batch 50/643] Loss: 1.0808
   [Batch 100/643] Loss: 1.0377
   [Batch 150/643] Loss: 1.0893
   [Batch 200/643] Loss: 1.0370
   [Batch 250/643] Loss: 0.9634
   [Batch 300/643] Loss: 0.8859
   [Batch 350/643] Loss: 0.8904
   [Batch 400/643] Loss: 1.0597
   [Batch 450/643] Loss: 0.9670
   [Batch 500/643] Loss: 1.0470
   [Batch 550/643] Loss: 0.9512
   [Batch 600/643] Loss: 0.9614
    10    1.0084    0.9916   22.832   0.8605   1.00e-04  214.4s  ← BEST ✓
   [Batch 50/643] Loss: 1.0657
   [Batch 100/643] Loss: 1.0039
   [Batch 150/643] Loss: 1.1615
   [Batch 200/643] Loss: 1.1910
   [Batch 250/643] Loss: 1.1305
   [Batch 300/643] Loss: 1.0916
   [Batch 350/643] Loss: 1.0854
   [Batch 400/643] Loss: 1.0120
   [Batch 450/643] Loss: 0.9671
   [Batch 500/643] Loss: 0.9850
   [Batch 550/643] Loss: 0.9787
   [Batch 600/643] Loss: 1.0362
   [Batch 50/643] Loss: 1.0150
   [Batch 100/643] Loss: 1.1090
   [Batch 150/643] Loss: 1.0984
   [Batch 200/643] Loss: 0.9668
   [Batch 250/643] Loss: 0.9790
   [Batch 300/643] Loss: 0.8276
   [Batch 350/643] Loss: 0.9243
   [Batch 400/643] Loss: 0.9156
   [Batch 450/643] Loss: 1.0573
   [Batch 500/643] Loss: 0.9229
   [Batch 550/643] Loss: 1.0040
   [Batch 600/643] Loss: 1.0596
    12    0.9960    0.9828   22.615   0.8547   1.00e-04  209.5s
   [Batch 50/643] Loss: 0.8602
   [Batch 100/643] Loss: 1.0435
   [Batch 150/643] Loss: 0.9497
   [Batch 200/643] Loss: 1.0899
   [Batch 250/643] Loss: 1.0190
   [Batch 300/643] Loss: 1.0275
   [Batch 350/643] Loss: 1.0148
   [Batch 400/643] Loss: 0.9690
   [Batch 450/643] Loss: 0.8964
   [Batch 500/643] Loss: 1.0020
   [Batch 550/643] Loss: 0.9761
   [Batch 600/643] Loss: 0.9823
   [Batch 50/643] Loss: 0.9018
   [Batch 100/643] Loss: 1.0309
   [Batch 150/643] Loss: 0.9450
   [Batch 200/643] Loss: 0.9401
   [Batch 250/643] Loss: 0.9262
   [Batch 300/643] Loss: 0.9206
   [Batch 350/643] Loss: 1.0766
   [Batch 400/643] Loss: 0.9737
   [Batch 450/643] Loss: 0.9900
   [Batch 500/643] Loss: 0.8954
   [Batch 550/643] Loss: 1.0463
   [Batch 600/643] Loss: 1.0293
    14    0.9884    0.9710   22.945   0.8619   1.00e-04  209.1s  ← BEST ✓
   [Batch 50/643] Loss: 0.9569
   [Batch 100/643] Loss: 0.9658
   [Batch 150/643] Loss: 1.0033
   [Batch 200/643] Loss: 1.0648
   [Batch 250/643] Loss: 1.0232
   [Batch 300/643] Loss: 0.9805
   [Batch 350/643] Loss: 1.0349
   [Batch 400/643] Loss: 1.1079
   [Batch 450/643] Loss: 0.9394
   [Batch 500/643] Loss: 1.0562
   [Batch 550/643] Loss: 1.0137
   [Batch 600/643] Loss: 1.0071
   [Batch 50/643] Loss: 0.9684
   [Batch 100/643] Loss: 1.0668
   [Batch 150/643] Loss: 0.9898
   [Batch 200/643] Loss: 1.0592
   [Batch 250/643] Loss: 0.9981
   [Batch 300/643] Loss: 1.0040
   [Batch 350/643] Loss: 0.9817
   [Batch 400/643] Loss: 0.9475
   [Batch 450/643] Loss: 0.9785
   [Batch 500/643] Loss: 0.9563
   [Batch 550/643] Loss: 0.9848
   [Batch 600/643] Loss: 1.0214
    16    0.9743    0.9572   23.131   0.8626   1.00e-04  209.4s  ← BEST ✓
   [Batch 50/643] Loss: 0.8789
   [Batch 100/643] Loss: 1.0467
   [Batch 150/643] Loss: 0.9099
   [Batch 200/643] Loss: 0.9158
   [Batch 250/643] Loss: 0.9571
   [Batch 300/643] Loss: 1.1050
   [Batch 350/643] Loss: 0.9240
   [Batch 400/643] Loss: 0.9611
   [Batch 450/643] Loss: 1.1532
   [Batch 500/643] Loss: 1.0247
   [Batch 550/643] Loss: 0.8858
   [Batch 600/643] Loss: 0.9227
   [Batch 50/643] Loss: 0.9642
   [Batch 100/643] Loss: 0.9006
   [Batch 150/643] Loss: 0.9775
   [Batch 200/643] Loss: 0.8732
   [Batch 250/643] Loss: 0.9618
   [Batch 300/643] Loss: 1.0193
   [Batch 350/643] Loss: 1.0428
   [Batch 400/643] Loss: 0.9525
   [Batch 450/643] Loss: 0.9578
   [Batch 500/643] Loss: 0.8944
   [Batch 550/643] Loss: 0.9637
   [Batch 600/643] Loss: 0.9269
    18    0.9680    0.9989   22.289   0.8513   1.00e-04  227.8s
   [Batch 50/643] Loss: 0.9677
